Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Provider,Category,Population,Fast Food Density
70616,Express Lane Mart,35.0652,-89.9297,"4002 Knight Arnold Road, Memphis, TN, 38118",4002 Knight Arnold Road,Memphis,TN,38118,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
70643,Corner Food Mart,35.0605,-90.0597,"3241 S 3rd St, Memphis, TN, 38109",3241 S 3rd St,Memphis,TN,38109,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
70621,Louie And Sue Supermarket,35.1743,-89.9619,"2948 Chelsea Avenue, Memphis, TN, 38108",2948 Chelsea Avenue,Memphis,TN,38108,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
63213,Jackpot Market,36.6331,-86.5658,"6110 Hwy 31 West, Portland, TN, 37148",6110 Hwy 31 West,Portland,TN,37148,Sumner,Hunt Brothers Pizza,Food Chains,200557.0,0.0007080281416255728
64838,Fredonia One Stop,36.4403,-87.2181,"4574 Ashland City Rd, Clarksville, TN, 37043",4574 Ashland City Rd,Clarksville,TN,37043,Montgomery,Hunt Brothers Pizza,Food Chains,227900.0,0.0007591048705572619
72502,Sudden Service 6604,36.1442,-86.7446,"601 Fesslers Lane, Nashville, TN, 37210",601 Fesslers Lane,Nashville,TN,37210,Davidson,Hunt Brothers Pizza,Food Chains,703953.0,0.000869376222560313
70599,North Memphis Market,35.1643,-90.0044,"1590 Vollintine Avenue, Memphis, TN, 38107",1590 Vollintine Avenue,Memphis,TN,38107,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
63212,Millersville Market,36.3742,-86.7089,"1206 Louisville Highway, Goodlettsville, TN, 37072",1206 Louisville Highway,Goodlettsville,TN,37072,Davidson,Hunt Brothers Pizza,Food Chains,703953.0,0.000869376222560313
54654,Hillside Citgo,36.47,-87.3789,"2039 Highway 48, Clarksville, TN, 37040",2039 Highway 48,Clarksville,TN,37040,Montgomery,Hunt Brothers Pizza,Food Chains,227900.0,0.0007591048705572619
70642,Los Primos Market,35.17,-89.9351,"3746 Townes Ave, Memphis, TN, 38122",3746 Townes Ave,Memphis,TN,38122,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
70715,Green Pond Grocery,35.239975,-85.152649,"9823 Dallas Hollow Road, Soddy Daisy, TN, 37379",9823 Dallas Hollow Road,Soddy Daisy,TN,37379,Hamilton,Hunt Brothers Pizza,Food Chains,369135.0,0.00093732645238192
85435,Shelby Food Center,35.0196,-89.8655,"5925 E Shelby Dr, Memphis, TN, 38141",5925 E Shelby Dr,Memphis,TN,38141,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
61443,Discount Grocery & Food,35.1081,-89.9487,"3412 Park Ave, Memphis, TN, 38111",3412 Park Ave,Memphis,TN,38111,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
65984,St. George Market #2,36.3059,-86.7058,"703 Rivergate Pkwy, Goodlettsville, TN, 37072",703 Rivergate Pkwy,Goodlettsville,TN,37072,Davidson,Hunt Brothers Pizza,Food Chains,703953.0,0.000869376222560313
69539,E-Z Express Food Mart (If),35.2128,-90.0155,"1441 Dellwood Avenue, Memphis, TN, 38127",1441 Dellwood Avenue,Memphis,TN,38127,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
70636,Summer Grocery Inc,35.1492,-89.9586,"3083 Summer Ave, Memphis, TN, 38112",3083 Summer Ave,Memphis,TN,38112,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
69547,King's Food Mart,35.2171,-89.995,"2067 Frayser Blvd, Memphis, TN, 38127",2067 Frayser Blvd,Memphis,TN,38127,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
69660,Haas Market,35.0067,-90.008,"1672 E Holmes Rd, Memphis, TN, 38116",1672 E Holmes Rd,Memphis,TN,38116,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
75566,S K Food Mart,35.04712,-85.23835,"3440 Wilcox Blvd, Chattanooga, TN, 37411",3440 Wilcox Blvd,Chattanooga,TN,37411,Hamilton,Hunt Brothers Pizza,Food Chains,369135.0,0.00093732645238192
72225,Sudden Service #0055,36.5397,-86.205,"11181 Hwy 52 W, Westmoreland, TN, 37186",11181 Hwy 52 W,Westmoreland,TN,37186,Sumner,Hunt Brothers Pizza,Food Chains,200557.0,0.0007080281416255728
61809,Ford Ice - Bellevue,36.0818,-86.9507,"7638 Us 70s, Nashville, TN, 37221",7638 Us 70s,Nashville,TN,37221,Davidson,Hunt Brothers Pizza,Food Chains,703953.0,0.000869376222560313
69744,Memphis A & G,35.1063,-90.0441,"1499 S Lauderdale Street, Memphis, TN, 38106",1499 S Lauderdale Street,Memphis,TN,38106,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
79535,Sudden Service #0009,36.3504,-86.7157,"934 Louisville Hwy, Goodlettsville, TN, 37072",934 Louisville Hwy,Goodlettsville,TN,37072,Davidson,Hunt Brothers Pizza,Food Chains,703953.0,0.000869376222560313
54234,Clarksville Speedway,36.61,-87.3532,"1600 Needmore Road, Clarksville, TN, 37040",1600 Needmore Road,Clarksville,TN,37040,Montgomery,Hunt Brothers Pizza,Food Chains,227900.0,0.0007591048705572619
