FIPS,State,County,Health Outcomes Z Score ,Health Outcomes Rank ,Health Factors Z Score ,Health Factors Rank ,Length of Life Z Score,Length of Life Rank,Quality of Life Z Score,Quality of Life Rank,Health Behaviors Z Score,Health Behaviors Rank,Clinical Care Z Score,Clinical Care Rank,Social Economic Factors Z Score,Social Economic Factors Rank,Physical Environment Z Score,Physical Environment Rank,Years of Potential Life Lost Rate, Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Poor mental health days 95 CI Low, Smokers,Adult smoking 95 CI Low, Adults with Obesity,Adult obesity 95 CI Low,Food Environment Index, Physically Inactive,Physically inactive 95 CI Low, With Access to Exercise Opportunities, Excessive Drinking,Excessive drinking 95 CI Low, Completed High School,High School Completion 95 CI Low, Some College, Some College, Unemployed, Unemployed, Children in Poverty,Children in Poverty 95 CI Low
47073,Tennessee,Hawkins,-0.04058578,49,0.1755308155,60,-0.026055457,46,-0.014530323,46,0.0352340183,52,-0.024835493,38,0.1151919482,66,0.0499403419,87,10235.731784,24.332546388,5.4204101828,5.7465762507,5.2635118651,28.071168171,24.258741359,32.0,26.6,7.1,34.7,29.0,54.021431211,15.283816201,14.268437858,84.383394383,82.809843708,5939,46.796942715,988,4.1190694572,30.1,23.546808511
47075,Tennessee,Haywood,1.3861561767,90,0.5200496222,85,0.6668930529,88,0.7192631237,91,0.1582193339,85,0.0539198043,62,0.278095531,85,0.029814953,73,12639.603074,28.657320512,5.5091793111,5.5840536264,5.2404178724,27.000439193,24.29918298,47.0,38.0,6.8,30.9,23.4,47.804332783,12.858199752,12.271786828,81.985897015,78.920096007,1761,43.406457974,376,4.8522389986,29.0,18.157446809
47077,Tennessee,Henderson,0.1536935001,57,0.220996214,68,-0.093812868,38,0.2475063679,72,0.1056485495,78,0.0568835705,65,0.0770479533,57,-0.018583859,32,10000.678108,24.111940863,5.4090435774,5.7203323036,5.2662978597,28.223237613,24.589778511,38.4,32.2,7.4,33.5,27.4,45.291512118,16.315945346,15.398382111,82.734330814,80.422959994,2817,42.546443135,537,4.3414989086,21.9,14.631914894
47079,Tennessee,Henry,0.1383125928,55,0.0043960826,44,0.2181397349,70,-0.079827142,37,0.0906344326,73,-0.11448614,14,0.0919015112,60,-0.063653721,7,11082.856502,24.132229257,5.3532975911,5.7203585466,5.267324125,27.084219301,23.316613438,34.4,27.8,7.1,34.1,27.8,63.937519332,15.839606703,14.965429143,85.949529512,83.961974565,3140,45.251477158,594,4.147755045,28.0,20.017021277
47081,Tennessee,Hickman,0.066356798,52,0.2291157392,70,0.0890751783,64,-0.02271838,44,0.0601158806,63,0.0352718062,56,0.0878127183,59,0.045915334,83,10635.125425,24.357701259,5.3166690128,5.8138446704,5.3918589465,27.121760069,23.661868255,38.1,28.6,7.6,26.4,18.2,35.042527339,16.657042152,15.592958801,78.554658421,75.028735516,2256,35.76977961,356,3.069230106,22.4,14.774468085
47083,Tennessee,Houston,0.103228954,54,0.2026706473,65,0.0342882937,53,0.0689406603,56,-0.022766453,36,0.0672200411,70,0.2369839996,82,-0.078766941,5,10445.067121,25.34189957,5.5078562537,5.9483423993,5.4661475736,28.727921494,25.119378064,25.4,14.6,7.7,28.5,18.0,46.380251602,15.951718606,14.934083129,77.215849844,72.969999515,679,37.80623608,151,4.5799211404,24.8,15.625531915
47085,Tennessee,Humphreys,0.2663126438,64,0.0099881131,45,0.2569694557,73,0.0093431881,50,0.0457315925,60,0.0651033422,68,-0.080785787,34,-0.020061035,31,11217.558647,23.135745556,5.2137395051,5.6213367711,5.1809731778,26.62452534,23.051004196,35.9,25.7,7.6,32.7,22.9,39.065702881,17.075116963,15.984461569,84.916800859,82.336026946,1760,41.32425452,347,3.8448753463,20.7,13.312765957
47087,Tennessee,Jackson,0.2465924547,62,0.563235375,86,-0.108492987,36,0.355085442,80,0.0939584499,74,0.1652679279,88,0.2286591113,80,0.0753498859,92,9949.7520762,25.430485627,5.6192641352,5.8910089429,5.4042844977,29.049840018,25.315545248,36.8,27.4,7.6,35.6,25.0,47.989345248,15.377917913,14.330701896,78.169904587,74.879830556,990,38.491446345,216,4.5937898766,23.8,14.268085106
47089,Tennessee,Jefferson,-0.306506779,31,-0.266680227,23,-0.212054207,29,-0.094452572,36,0.0197833919,48,-0.077912799,21,-0.192909831,20,-0.01564099,35,9590.4932857,22.785305015,5.2654348023,5.6419170006,5.1662270942,25.391526998,21.820113036,42.0,33.8,8.0,28.4,21.1,53.290407921,17.083127795,16.02152576,85.339790493,83.578022743,6167,51.619653469,918,3.7016129032,19.3,12.031914894
47091,Tennessee,Johnson,0.7376097857,78,0.2765197107,72,0.5011176941,83,0.2364920916,69,0.0427293301,56,0.0162147099,51,0.2055189231,77,0.0120567477,59,12064.520481,26.740297585,5.6853577067,5.9785254577,5.4882796355,29.545863615,25.751475814,29.6,21.4,7.2,26.4,18.5,100.0,15.850409116,14.800793959,79.776196828,76.546605808,1609,36.760338131,268,3.4670116429,35.6,25.710638298
