Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,URL,Provider,Category,Status,Direction URL,geometry
7837,Arbys Gallatin,36.3757681,-86.4719551,"1019 Nashville Pike, Gallatin, TN, 37066",1019 Nashville Pike,Gallatin,TN,37066,Sumner,https://locations.arbys.com/tn/gallatin/1019-nashville-pike.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1019+Nashville+Pike,+Gallatin,+TN,+37066,+USA/",POINT (-86.4719551 36.3757681)
5308,Arbys Greeneville,36.1701943,-82.819648,"519 Tusculum Blvd, Greeneville, TN, 37743",519 Tusculum Blvd,Greeneville,TN,37743,Greene,https://locations.arbys.com/tn/greeneville/519-tusculum-blvd.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/519+Tusculum+Blvd,+Greeneville,+TN,+37743,+USA/",POINT (-82.819648 36.1701943)
750,Arbys Chattanooga,35.0097007,-85.2205256,"5420 Brainerd Rd, Chattanooga, TN, 37411",5420 Brainerd Rd,Chattanooga,TN,37411,Hamilton,https://locations.arbys.com/tn/chattanooga/5420-brainerd-rd.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/5420+Brainerd+Rd,+Chattanooga,+TN,+37411,+USA/",POINT (-85.2205256 35.0097007)
7482,Arbys Hixson,35.1990342,-85.1610808,"8514 Hixson Pike, Hixson, TN, 37343",8514 Hixson Pike,Hixson,TN,37343,Hamilton,https://locations.arbys.com/tn/hixson/8514-hixson-pike.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/8514+Hixson+Pike,+Hixson,+TN,+37343,+USA/",POINT (-85.1610808 35.1990342)
5971,Arbys Chattanooga,35.1137693,-85.2618381,"3903 Hixson Pike, Chattanooga, TN, 37415",3903 Hixson Pike,Chattanooga,TN,37415,Hamilton,https://locations.arbys.com/tn/chattanooga/3903-hixson-pike.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/3903+Hixson+Pike,+Chattanooga,+TN,+37415,+USA/",POINT (-85.2618381 35.1137693)
8901,Arbys Jackson,35.5565731,-88.8111043,"1984 S Highland Ave, Jackson, TN, 38301",1984 S Highland Ave,Jackson,TN,38301,Madison,https://locations.arbys.com/tn/jackson/1984-s-highland-ave.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1984+S+Highland+Ave,+Jackson,+TN,+38301,+USA/",POINT (-88.8111043 35.5565731)
1857,Arbys Nashville,36.2340438,-86.7589701,"3196 Dickerson Rd, Nashville, TN, 37207",3196 Dickerson Rd,Nashville,TN,37207,Davidson,https://locations.arbys.com/tn/nashville/3196-dickerson-rd.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/3196+Dickerson+Rd,+Nashville,+TN,+37207,+USA/",POINT (-86.7589701 36.2340438)
8096,Arbys Smyrna,35.9303938,-86.5333999,"1901 Almaville Rd, Smyrna, TN, 37167",1901 Almaville Rd,Smyrna,TN,37167,Rutherford,https://locations.arbys.com/tn/smyrna/1901-almaville-rd..html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1901+Almaville+Rd,+Smyrna,+TN,+37167,+USA/",POINT (-86.5333999 35.9303938)
7439,Arbys Clarksville,36.5093906,-87.2741553,"2237 Madison St, Clarksville, TN, 37043",2237 Madison St,Clarksville,TN,37043,Montgomery,https://locations.arbys.com/tn/clarksville/2237-madison-st.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2237+Madison+St,+Clarksville,+TN,+37043,+USA/",POINT (-87.2741553 36.5093906)
5115,Arbys Clarksville,36.5943443,-87.2874719,"3067 Wilma Rudolph Blvd, Clarksville, TN, 37040",3067 Wilma Rudolph Blvd,Clarksville,TN,37040,Montgomery,https://locations.arbys.com/tn/clarksville/3067-wilma-rudolph-blvd.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/3067+Wilma+Rudolph+Blvd,+Clarksville,+TN,+37040,+USA/",POINT (-87.2874719 36.5943443)
5025,Arbys Chattanooga,35.0883977,-85.1875828,"4766 Highway 58, Chattanooga, TN, 37416",4766 Highway 58,Chattanooga,TN,37416,Hamilton,https://locations.arbys.com/tn/chattanooga/4766-highway-58.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/4766+Highway+58,+Chattanooga,+TN,+37416,+USA/",POINT (-85.1875828 35.0883977)
707,Arbys Nashville,36.080414,-86.7271574,"4097 Nolensville Pike, Nashville, TN, 37211",4097 Nolensville Pike,Nashville,TN,37211,Davidson,https://locations.arbys.com/tn/nashville/4097-nolensville-pike.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/4097+Nolensville+Pike,+Nashville,+TN,+37211,+USA/",POINT (-86.7271574 36.080414)
7282,Arbys Knoxville,36.0043487,-84.0199317,"2750 Schaad Rd, Knoxville, TN, 37921",2750 Schaad Rd,Knoxville,TN,37921,Knox,https://locations.arbys.com/tn/knoxville/2750-schaad-rd.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2750+Schaad+Rd,+Knoxville,+TN,+37921,+USA/",POINT (-84.0199317 36.0043487)
1779,Arbys Hermitage,36.1887754,-86.6291689,"3400 Lebanon Pike, Hermitage, TN, 37076",3400 Lebanon Pike,Hermitage,TN,37076,Davidson,https://locations.arbys.com/tn/hermitage/3400-lebanon-pike.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/3400+Lebanon+Pike,+Hermitage,+TN,+37076,+USA/",POINT (-86.6291689 36.1887754)
7498,Arbys Clinton,36.1626487,-84.0890329,"2181 N Charles G Seivers Blvd, Clinton, TN, 37716",2181 N Charles G Seivers Blvd,Clinton,TN,37716,Anderson,https://locations.arbys.com/tn/clinton/2181-n-charles-g-seivers-blvd.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2181+N+Charles+G+Seivers+Blvd,+Clinton,+TN,+37716,+USA/",POINT (-84.0890329 36.1626487)
