Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Provider,Category,Population,Fast Food Density, Adults with Obesity
11867,Brentwood,36.035422,-86.791678,"109 E Park Dr, Brentwood, TN, 37027",109 E Park Dr,Brentwood,TN,37027,Williamson,McDonalds,Food Chains,255735.0,0.0009345611668328544,22.5
4953,Antioch-Hickory,36.048729,-86.651974,"5301 Hickory Hollow Ln, Antioch, TN, 37013",5301 Hickory Hollow Ln,Antioch,TN,37013,Davidson,McDonalds,Food Chains,703953.0,0.000869376222560313,29.2
13122,Chatt/Erlanger,35.046745,-85.286977,"1117 E 3rd St, Chattanooga, TN, 37403",1117 E 3rd St,Chattanooga,TN,37403,Hamilton,McDonalds,Food Chains,369135.0,0.00093732645238192,31.2
3274,Lebanon-Cumbrlnd,36.187757,-86.295938,"705 S Cumberland St, Lebanon, TN, 37087",705 S Cumberland St,Lebanon,TN,37087,Wilson,McDonalds,Food Chains,151917.0,0.0008754780570969674,33.7
6715,Alcoa-Airport,35.81517,-83.980955,"2552 Airport Hwy, Alcoa, TN, 37701",2552 Airport Hwy,Alcoa,TN,37701,Blount,McDonalds,Food Chains,137605.0,0.0006976490679844482,35.9
2414,Nashvl-Hillsboro,36.101306,-86.817641,"4110 Hillsboro Rd, Nashville, TN, 37215",4110 Hillsboro Rd,Nashville,TN,37215,Davidson,McDonalds,Food Chains,703953.0,0.000869376222560313,29.2
249147,Waffle House #2407,36.57403,-82.191311,"1005 Volunteer Pkwy, Bristol, TN, 37620",1005 Volunteer Pkwy,Bristol,TN,37620,Sullivan,Waffle House,Food Chains,159265.0,0.0009606630458669514,33.3
271471,Waffle House #2415,35.294349,-89.674687,"11636 Us Hwy 70, Arlington, TN, 38002",11636 Us Hwy 70,Arlington,TN,38002,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967,34.9
9954,Burger King 4933 Main St,35.7749,-86.916502,"4933 Main St, Spring Hill, TN, 37174",4933 Main St,Spring Hill,TN,37174,Williamson,Burger King,Food Chains,255735.0,0.0009345611668328544,22.5
9949,Daylight Donuts Johnson City,36.300683,-82.37731,"1735 W State Of Franklin Road Suite 1, Johnson City, TN, 37604",1735 W State Of Franklin Road Suite 1,Johnson City,TN,37604,Washington,Daylight Donuts,Food Chains,134236.0,0.0009386453708394171,33.9
9801,Daylight Donuts Bartlett,35.86311,-88.555535,"7546 Us Hwy 70 Suite 101, Memphis, TN, 38134",7546 Us Hwy 70 Suite 101,Memphis,TN,38134,Shelby,Daylight Donuts,Food Chains,924454.0,0.0007680209074761967,34.9
10093,Daylight Donuts Spring Hill,35.744416,-86.892625,"4926 Port Royal Road Suite 111, Spring Hill, TN, 37174",4926 Port Royal Road Suite 111,Spring Hill,TN,37174,Williamson,Daylight Donuts,Food Chains,255735.0,0.0009345611668328544,22.5
7103,Maryville-Hy 321,35.751784,-83.998794,"803 Foothills Dr, Maryville, TN, 37801",803 Foothills Dr,Maryville,TN,37801,Blount,McDonalds,Food Chains,137605.0,0.0006976490679844482,35.9
